"","survey","mode_acc_walk","count","count_moe","reliability","share","share_moe","sample_size","year"
"1","2017_2019","Other Access Mode",76864.6788854048,22979.4955053278,0.181738847830965,0.142814828762865,0.0432349085854832,334,"2017/2019"
"2","2017_2019","Walked or jogged",461347.491035924,80457.2614219791,0.106015943003068,0.857185171237134,0.0432349085854832,4144,"2017/2019"
"3","2021","Other Access Mode",95813.7232351926,32871.0553898795,0.208554722826891,0.246473120937452,0.0699667374162089,78,"2021"
"4","2021","Walked or jogged",292925.311961702,57176.108846208,0.118656570658402,0.753526879062548,0.0699667374162089,297,"2021"
