"","survey","race_eth_broad","mode_simple","count","count_moe","reliability","share","share_moe","sample_size"
"1","2017/2019","Asian","Walk",152677.977829359,44150.4421342295,0.175789429040516,0.155124215457773,0.0433493980247292,2064
"2","2017/2019","Black","Walk",39874.8797532955,21459.6914993678,0.327158482922091,0.0857428031158623,0.043603711228274,216
"3","2017/2019","Hispanic","Walk",71467.3415407367,29591.8983335236,0.251709320084013,0.0966370666349798,0.0352846200504042,706
"4","2017/2019","Other","Walk",109886.401574476,36423.957267119,0.201501031478216,0.101754106762958,0.0354920180876052,873
"5","2017/2019","White","Walk",978211.223375753,124744.53266759,0.0775216444495251,0.108376682604365,0.0133020781474557,11139
"6","2021","Asian","Walk",329343.876575916,75541.9072334659,0.139435208373254,0.204498690049194,0.0435425534609926,324
"7","2021","Black","Walk",78669.7579735622,46292.5637864129,0.357715301112409,0.123112049969874,0.0676305681275625,38
"8","2021","Hispanic","Walk",113771.004632377,50407.9140434731,0.269340232513834,0.114955596348001,0.046710219308199,83
"9","2021","Other","Walk",95671.2821570319,36286.0892813039,0.23056462127012,0.143397215230339,0.0505428662032829,90
"10","2021","White","Walk",1393938.14119078,167507.830020296,0.0730509231998323,0.150382180884747,0.0173397514138793,1251
