"","survey","mode_simple","trip_path_distance_median","trip_path_distance_median_moe","reliability","sample_size"
"1","2017/2019","Walk",0.45,0.0495931647674539,0.0669951567273947,15622
"2","2021","Walk",0.6,0.0581017730504438,0.0588670446306422,1855
