"","survey","mode_freq_2","count","count_moe","reliability","share","share_moe","sample_size"
"1","2017/2019","1-3 times in the past 30 days",150108.619374116,35499.8005434208,0.143765401029217,0.0380296785833618,0.00869150420168247,613
"2","2017/2019","1 day/week",123767.793019652,34477.6903936341,0.16934197334223,0.0313562899128299,0.00834352730948838,384
"3","2017/2019","2-4 days/week",146149.026107568,38609.6185216024,0.160595614924073,0.0370265246014284,0.00935436406526382,538
"4","2017/2019","5 days/week",47258.012779369,17183.4814146704,0.221039454350957,0.0119727104544785,0.00431329391850661,244
"5","2017/2019","6-7 days/week",28995.3466716407,12773.6885578417,0.267807117654771,0.00734590537794117,0.00320364938662305,183
"6","2017/2019","I do this, but not in the past 30 days",516932.823659565,73567.637997247,0.0865140814057429,0.130963759542463,0.0169616104300633,1905
"7","2017/2019","I never do this",2272542.85543776,169755.201944851,0.0454093313977698,0.5757435830105,0.0263642212996919,6692
"8","2021","1-3 times in the past 30 days",204478.675386285,34536.062631919,0.102673625549625,0.0606091156804672,0.0100908458564878,256
"9","2021","1 day/week",125781.68859592,27929.1043557094,0.134981324620185,0.0372826990403419,0.00814595735334338,142
"10","2021","2-4 days/week",143275.457748858,26090.3340452103,0.110698550100736,0.0424679922073423,0.0077014555885649,208
"11","2021","5 days/week",47652.4105461211,16990.9352229488,0.21675369374642,0.0141245558138855,0.00499891899325645,48
"12","2021","6-7 days/week",22961.5649964539,10375.8554799496,0.27469865102987,0.00680599160986146,0.00305755751708569,36
"13","2021","I do this, but not in the past 30 days",776077.7240354,67300.2767013175,0.0527163981696312,0.2300356477967,0.0183970426079217,870
"14","2021","I never do this",2053500.5572246,107822.900007466,0.0319190738177292,0.608673997851402,0.0223639022859649,2742
