,geoid10,score,scaled_score
0,530330001001,130.3508844,41.1124607
1,530330001002,755.3199845,66.12092209
2,530330001003,786.1749371,66.6921501
3,530330001004,713.9201009,65.31672556
4,530330001005,880.665259,68.31160656
5,530330002001,715.467037,65.34760344
6,530330002002,844.6922255,67.71650705
7,530330002003,482.6569537,59.73394117
8,530330002004,622.7687091,63.36828059
9,530330002005,564.2240774,61.96031785
10,530330002006,629.6802773,63.5257006
11,530330003001,426.8693397,57.9831124
12,530330003002,512.0427269,60.576559
13,530330004011,467.9151547,59.29174065
14,530330004012,373.5758874,56.08277741
15,530330004013,334.430847,54.50594023
16,530330004021,420.5415421,57.77026186
17,530330004022,487.5281282,59.87710072
18,530330004023,490.0764458,59.95142586
19,530330004024,441.2847619,58.45648475
20,530330005001,65.3803261,31.36286741
21,530330005002,266.6514065,51.28122017
22,530330005003,132.9017413,41.38723224
23,530330006001,372.8474938,56.05497062
24,530330006002,701.2499728,65.06127753
25,530330006003,479.472717,59.6395778
26,530330006004,495.7237276,60.11477131
27,530330006005,242.6975302,49.94182609
28,530330006006,655.3716828,64.09610312
29,530330007001,901.3956909,68.64361579
30,530330007002,909.3858459,68.76955023
31,530330007003,732.3510586,65.6803503
32,530330007004,836.5560781,67.57840315
33,530330008001,687.1849021,64.77225078
34,530330008002,463.7687527,59.1648568
35,530330009001,207.266416,47.69740152
36,530330009002,254.4598118,50.61521579
37,530330010001,701.6601607,65.06961946
38,530330010002,523.799918,60.90024402
39,530330011001,767.7691928,66.35415407
40,530330011002,650.2778756,63.98480565
41,530330012001,877.511086,68.26040753
42,530330012002,1158.116539,72.22019128
43,530330012003,1048.750315,70.80439456
44,530330012004,1101.205509,71.500978
45,530330012005,1066.7687,71.04752033
46,530330013001,714.502106,65.3283506
47,530330013002,759.8373652,66.20599461
48,530330013003,785.8754704,66.68671432
49,530330014001,508.6873479,60.48282135
50,530330014002,680.2192769,64.62691781
51,530330014003,721.0178707,65.45785557
52,530330014004,185.1169057,46.09107145
53,530330015001,122.6324281,40.24732677
54,530330015002,178.8111085,45.59867004
55,530330016001,68.74154986,32.06851806
56,530330016002,503.6451287,60.34079238
57,530330016003,699.7290487,65.03030416
58,530330017011,646.4908912,63.90149608
59,530330017012,707.752979,65.19295797
60,530330017013,801.1106125,66.96066456
61,530330017021,818.9663058,67.27518927
62,530330017022,641.9517763,63.80099605
63,530330017023,773.7585385,66.46502025
64,530330017024,837.7412628,67.59860388
65,530330018001,885.4509746,68.38894031
66,530330018002,706.0366302,65.15832108
67,530330018003,726.3916227,65.56378594
68,530330019001,1195.240089,72.67055226
69,530330019002,932.4522551,69.12699736
70,530330019003,994.1490339,70.04132155
71,530330020001,706.7612627,65.17295482
72,530330020002,918.731686,68.91545688
73,530330020003,754.1845112,66.09945864
74,530330021001,476.773963,59.55911057
75,530330021002,583.0695194,62.42885737
76,530330021003,625.1195665,63.42201934
77,530330022001,275.8709405,51.76502112
78,530330022002,434.5456802,58.23713832
79,530330022003,278.5466315,51.90241597
80,530330022004,183.0282507,45.92984689
81,530330024001,373.0545785,56.06288169
82,530330024002,456.8960355,58.95203088
83,530330024003,568.8183002,62.07596483
84,530330025001,691.2431951,64.8562476
85,530330025002,777.3485274,66.53106289
86,530330026001,750.9514755,66.03816849
87,530330026002,850.1070094,67.8076838
88,530330026003,1062.252151,70.9869651
89,530330026004,770.6943127,66.40840719
90,530330027001,774.5309418,66.47925544
91,530330027002,765.2580762,66.30741467
92,530330027003,685.9232901,64.74603752
93,530330027004,687.4222181,64.77717627
94,530330028001,668.4702983,64.37838286
95,530330028002,623.8434432,63.39287325
96,530330028003,567.1598228,62.0343251
97,530330028004,696.47674,64.96384522
98,530330029001,632.2667505,63.58416772
99,530330029002,571.8791742,62.15249756
100,530330029003,587.2551888,62.53086926
101,530330030001,614.6164701,63.18034509
102,530330030002,702.5478302,65.08765519
103,530330030003,621.7987374,63.34604875
104,530330030004,620.1260397,63.30762891
105,530330031001,578.7699248,62.32330491
106,530330031002,524.0789982,60.90783891
107,530330031003,589.6160707,62.58808828
108,530330031004,342.3190716,54.83800361
109,530330031005,50.63824975,27.77518103
110,530330032001,452.0258079,58.79927278
111,530330032002,546.7039304,61.51049811
112,530330032003,523.4681286,60.89120944
113,530330032004,373.348702,56.0741103
114,530330032005,463.5804157,59.15906666
115,530330032006,60.77845556,30.33649554
116,530330032007,304.7523963,53.18250874
117,530330033001,588.3716118,62.55795578
118,530330033002,639.2914754,63.74176433
119,530330033003,654.1235245,64.0689115
120,530330033004,623.9313695,63.39488336
121,530330033005,604.3496342,62.94008856
122,530330034001,612.3286071,63.12715509
123,530330034002,573.7913606,62.20010177
124,530330034003,650.4233369,63.98799597
125,530330035001,512.3825691,60.5860188
126,530330035002,537.2855661,61.26270302
127,530330035003,567.7963348,62.0503205
128,530330036001,1035.572201,70.62392268
129,530330036002,795.9093383,66.86772741
130,530330036003,735.1831289,65.73541292
131,530330036004,841.5648416,67.66358032
132,530330038001,620.100839,63.30704929
133,530330038002,709.0203672,65.2184808
134,530330039001,535.3805682,61.21205606
135,530330039002,482.3463206,59.72476309
136,530330040001,57.35991609,29.52327551
137,530330040002,465.3569471,59.21359031
138,530330041001,359.8664131,55.55011204
139,530330041002,263.0293931,51.08657764
140,530330041003,371.3288618,55.99682144
141,530330041004,632.2811586,63.58449274
142,530330041005,632.687963,63.59366659
143,530330041006,128.4619344,40.90552707
144,530330042001,517.8618263,60.73768024
145,530330042002,718.6121783,65.41017751
146,530330042003,888.1919704,68.43304503
147,530330042004,757.9357822,66.17024522
148,530330042005,762.2016024,66.25031743
149,530330043011,1036.244658,70.63318727
150,530330043012,867.6830115,68.09968978
151,530330043013,998.1647066,70.09885195
152,530330043021,1779.430027,78.35157432
153,530330043022,987.6135571,69.94719306
154,530330044001,1171.611353,72.38554952
155,530330044002,1498.248937,75.89599362
156,530330044003,1949.17025,79.6524565
157,530330044004,2124.458206,80.88203835
158,530330045001,1674.036065,77.47985679
159,530330045002,1051.546349,70.84239431
160,530330046001,505.3281201,60.38835597
161,530330046002,553.6759805,61.69120178
162,530330046003,926.8989259,69.04175444
163,530330047001,777.5182598,66.5341778
164,530330047002,800.8461485,66.95595364
165,530330047003,753.4185083,66.08496093
166,530330047004,694.1964427,64.91706367
167,530330048001,731.3329989,65.66050467
168,530330048002,826.4381717,67.40477696
169,530330048003,727.3347742,65.5822971
170,530330048004,808.0653672,67.08399591
171,530330049001,858.0653251,67.94064239
172,530330049002,1016.945057,70.36487463
173,530330049003,1043.258081,70.72945631
174,530330049004,1024.400552,70.46912283
175,530330049005,1008.547799,70.2465398
176,530330050001,934.103286,69.15224271
177,530330050002,1061.674697,70.9792044
178,530330050003,1003.744311,70.1784053
179,530330051001,1113.600705,71.66073582
180,530330051002,1099.736522,71.48192571
181,530330051003,967.1598058,69.64853089
182,530330052001,2468.819736,83.02714922
183,530330052002,2638.47609,83.97622465
184,530330052003,2100.913853,80.72290811
185,530330052004,1941.24778,79.5943033
186,530330052005,2243.895109,81.66305824
187,530330053011,2275.420254,81.86227749
188,530330053012,2467.108484,83.01724772
189,530330053013,2671.321882,84.15289989
190,530330053014,2710.627158,84.36148801
191,530330053021,2788.604194,84.76649998
192,530330053022,2698.869632,84.29941095
193,530330053023,2165.395064,81.15456863
194,530330054001,994.7938178,70.05057466
195,530330054002,639.5355149,63.74720812
196,530330054003,850.8228478,67.819694
197,530330054004,1073.610897,71.13877027
198,530330056001,124.8013405,40.49577143
199,530330056002,85.39874077,35.12818716
200,530330056003,181.1749183,45.78524736
201,530330056004,145.1106192,42.63377144
202,530330056005,255.5042558,50.67350366
203,530330057001,54.56621752,28.82250597
204,530330057002,240.3063062,49.80095866
205,530330057003,198.8739551,47.10981348
206,530330057004,156.3466504,43.69216194
207,530330057005,197.7549082,47.02960641
208,530330057006,211.0445202,47.95423219
209,530330058011,339.5422771,54.72198971
210,530330058012,234.2523767,49.43798402
211,530330058013,340.2177099,54.75029599
212,530330058014,481.9518021,59.713098
213,530330058021,256.4421362,50.72564258
214,530330058022,691.5699093,64.86298836
215,530330058023,393.9185722,56.83827996
216,530330059001,644.6199141,63.8601566
217,530330059002,771.1421597,66.4166954
218,530330059003,829.3603166,67.4551389
219,530330059004,738.4137338,65.79796601
220,530330059005,795.3978193,66.85855477
221,530330060001,920.8787927,68.94876791
222,530330060002,1127.292813,71.83515692
223,530330060003,951.2531692,69.41187048
224,530330060004,958.3120563,69.51737742
225,530330061001,1087.438191,71.32141565
226,530330061002,1011.432172,70.28729723
227,530330061003,589.0047877,62.57329502
228,530330061004,453.0779952,58.83241398
229,530330062001,906.9676216,68.73155313
230,530330062002,1779.386216,78.35122279
231,530330062003,985.0543158,69.91016343
232,530330063001,140.4516511,42.17082815
233,530330063002,151.9384132,43.28621874
234,530330063003,138.3206873,41.95397684
235,530330063004,196.8345576,46.96330163
236,530330064001,830.3813086,67.4726935
237,530330064002,1022.532833,70.44307834
238,530330064003,938.1405877,69.21378841
239,530330065001,456.5603006,58.94155258
240,530330065002,1787.398092,78.4153654
241,530330065003,1662.139754,77.3780359
242,530330066001,1264.155228,73.47071576
243,530330066002,761.9300498,66.24523356
244,530330067001,1814.523427,78.63041564
245,530330067002,2210.414278,81.44839335
