"","survey_year","mode_acc","mode_characterization","n"
"1","2017","Drove and parked a car (e.g., a vehicle in my household)","Transit",40
"2","2017","Got dropped off","Transit",22
"3","2017","Other","Transit",47
"4","2017","Rode a bike","Transit",30
"5","2017","Walked or jogged","Transit",1725
"6","2017",NA,"Transit",3911
"7","2019","Drove and parked a car (e.g., a vehicle in my household)","Transit",102
"8","2019","Drove and parked a carshare vehicle (e.g., ZipCar, Car2Go)","Transit",37
"9","2019","Got dropped off","Transit",26
"10","2019","Missing: Skip Logic","Transit",3604
"11","2019","Other","Transit",46
"12","2019","Rode a bike","Transit",11
"13","2019","Took ride-share/other hired car service (e.g., Lyft, Uber)","Transit",4
"14","2019","Walked or jogged","Transit",3063
"15","2019",NA,"Transit",123
"16","2021","Drove and parked a car (e.g., a vehicle in my household)","Transit",14
"17","2021","Drove and parked a carshare vehicle (e.g., ZipCar, Car2Go)","Transit",1
"18","2021","Got dropped off","Transit",5
"19","2021","Missing: Skip Logic","Transit",72
"20","2021","Missing: Technical error","Transit",33
"21","2021","Other","Transit",16
"22","2021","Rode a bike","Transit",8
"23","2021","Took a taxi (e.g., Yellow Cab)","Transit",1
"24","2021","Took ride-share/other hired car service (e.g., Lyft, Uber)","Transit",1
"25","2021","Walked or jogged","Transit",293
"26","2021",NA,"Transit",3
"27","2023","Bicycle or e-bicycle","Transit",37
"28","2023","Drove and parked a car (e.g., a vehicle in my household)","Transit",123
"29","2023","Drove and parked a carshare vehicle (e.g., ZipCar, Car2Go)","Transit",1
"30","2023","Drove and parked my own household's vehicle (or motorcycle)","Transit",1
"31","2023","Got dropped off in another vehicle (or motorcycle)","Transit",5
"32","2023","Got dropped off in my own household's vehicle (or motorcycle)","Transit",1
"33","2023","Missing: Skip Logic","Transit",599
"34","2023","Other","Transit",31
"35","2023","Scooter, moped, skateboard","Transit",5
"36","2023","Took a taxi (e.g., Yellow Cab)","Transit",4
"37","2023","Transferred from another bus, shuttle, or vanpool","Transit",133
"38","2023","Transferred from other rail","Transit",19
"39","2023","Transferred from other transit (e.g., ferry, air)","Transit",17
"40","2023","Uber/Lyft, taxi, or car service","Transit",5
"41","2023","Walked or jogged","Transit",2044
