"","survey_year","dest_purpose_simplest","count","prop","prop_se","est","est_se","moe"
"1","2017","Go Home",1540,0.410297087984047,0.0306373736515183,406588.9852644,41203.681444017,0.0503984796567476
"2","2017","Not Work/School",912,0.229502008894607,0.0248107259899937,227427.860556075,27520.6874885183,0.0408136442535397
"3","2017","Work/School",1695,0.360200903121347,0.028587493185665,356945.549896575,34132.9698410937,0.047026426290419
"4","2019","Go Home",1772,0.374872485041065,0.0281769908280188,385589.123063801,33314.2745906064,0.0463511499120908
"5","2019","Not Work/School",1276,0.27779268392538,0.0306896665354336,285734.060680909,39298.2518858726,0.0504845014507883
"6","2019","Work/School",1714,0.347163741664598,0.0288019176083227,357088.258140195,35940.2012657654,0.0473791544656909
"7","2021","Go Home",157,0.339170797818946,0.0338281495215546,159081.726067931,19146.4706627598,0.0556473059629573
"8","2021","Not Work/School",164,0.408997832333479,0.0362982192609218,191832.792044745,22930.4904269622,0.0597105706842163
"9","2021","Work/School",126,0.251831369847575,0.0303058031316988,118116.799120156,16062.3342534904,0.0498530461516445
"10","2023","Go Home",798,0.429267178411836,0.0295930371400138,315150.781715958,28709.9433829439,0.0486805460953228
"11","2023","Not Work/School",570,0.249359976805348,0.025695873324816,183070.11477007,21646.5930747803,0.0422697116193223
"12","2023","Work/School",601,0.321372844782816,0.0278850362003948,235939.080249033,24750.0147685433,0.0458708845496495
