"","survey_year","homegeog","mode_acc_1","count","prop","prop_se","est","est_se","moe"
"1","2023","Bellevue","Bike/Micromobility",3,0.012457551940219,0.00862575439411052,197.891330373471,130.78728549505,0.0141893659783118
"2","2023","Bellevue","Drove",2,0.00525681427971879,0.00491285791225308,83.5058104780033,76.0135665820589,0.00808165126565632
"3","2023","Bellevue","Walked",124,0.982285633780062,0.0102100476323889,15603.853133288,3660.84904277013,0.0167955283552798
"4","2023","Kitsap","Drove",9,0.0962019261122629,0.056515736044465,1037.69365896723,491.459645205836,0.0929683857931449
"5","2023","Kitsap","Other",1,0.0104639887921084,0.0111875362997166,112.871074997021,112.871074997,0.0184034972130337
"6","2023","Kitsap","Walked",18,0.893334085095629,0.0598707208362719,9636.0556685867,4335.10586637445,0.0984873357756672
"7","2023","Pierce","Bike/Micromobility",1,0.00401507039190162,0.00412661413543514,243.249084125775,243.249084125794,0.00678828025279081
"8","2023","Pierce","Dropped off",1,0.00259542780105918,0.00267111524591747,157.241436363263,157.241436363246,0.00439398457953424
"9","2023","Pierce","Drove",4,0.0343337833668366,0.0280138241965122,2080.07844031852,1671.48348442231,0.0460827408032625
"10","2023","Pierce","Other",9,0.169746403155439,0.0971101833066228,10283.9186043882,6489.01606895088,0.159746251539395
"11","2023","Pierce","Walked",55,0.789309315284763,0.0997214586639875,47819.5272546708,13793.4748831095,0.164041799502259
"12","2023","Seattle Downtown","Bike/Micromobility",3,0.0226155112189695,0.0190709685276605,443.818513876573,372.969556172633,0.0313717432280016
"13","2023","Seattle Downtown","Drove",7,0.0046955265023252,0.00206979224048533,92.1474457929583,36.7389483434718,0.00340480823559836
"14","2023","Seattle Downtown","Walked",149,0.972688962278705,0.0192930922905513,19088.5523445776,3731.39937476629,0.0317371368179568
"15","2023","Seattle Outside Downtown","Bike/Micromobility",13,0.00334929960876195,0.00108904316453265,351.843069229908,110.246323844492,0.00179147600565621
"16","2023","Seattle Outside Downtown","Dropped off",5,0.000753778082264609,0.00043761897630555,79.1841951936478,45.4431749405565,0.00071988321602263
"17","2023","Seattle Outside Downtown","Drove",19,0.0271526558120465,0.00935389653631364,2852.37956427109,974.93530761271,0.0153871598022359
"18","2023","Seattle Outside Downtown","Other",2,0.00672509848385698,0.00643963165151366,706.469879626053,678.024778972286,0.01059319406674
"19","2023","Seattle Outside Downtown","Walked",791,0.96201916801307,0.0114450606124276,101059.868112796,9251.0621989183,0.0188271247074434
"20","2023","Snohomish-King Suburban","Bike/Micromobility",10,0.089916179470136,0.0361804672749882,12801.6756255844,5319.23945782867,0.0595168686673555
"21","2023","Snohomish-King Suburban","Dropped off",5,0.0133622595570097,0.0104541686850074,1902.4308359378,1483.42148782144,0.0171971074868372
"22","2023","Snohomish-King Suburban","Drove",15,0.148438453986818,0.0568466392444357,21133.693062811,8959.56529705485,0.0935127215570967
"23","2023","Snohomish-King Suburban","Other",17,0.0811063791564509,0.0253008957636131,11547.3940646177,3500.76107928306,0.0416199735311436
"24","2023","Snohomish-King Suburban","Walked",116,0.667176727829586,0.0653131443820687,94988.2446623516,16859.8135730394,0.107440122508503
