,c,d,skimid,t,tod_orig,tod_pulled,tripID
0,-99,-99,bike,802,7to8,5to6,89
1,-99,-99,bike,802,17to18,5to6,90
2,-99,-99,bike,318,18to20,5to6,93
3,-99,-99,bike,318,20to5,5to6,94
4,-99,-99,bike,390,17to18,5to6,137
5,-99,-99,bike,800,15to16,5to6,296
6,-99,-99,bike,3480,7to8,5to6,944
7,-99,-99,bike,116,20to5,5to6,949
8,-99,-99,bike,325,10to14,5to6,963
9,-99,-99,bike,542,10to14,5to6,964
10,-99,-99,bike,397,10to14,5to6,965
11,-99,-99,bike,2250,8to9,5to6,1089
12,-99,-99,bike,1334,10to14,5to6,1090
13,-99,-99,bike,1334,10to14,5to6,1091
14,-99,-99,bike,2168,14to15,5to6,1092
15,-99,-99,bike,1200,15to16,5to6,1093
16,-99,-99,bike,423,16to17,5to6,1094
17,-99,-99,bike,308,16to17,5to6,1095
18,-99,-99,bike,719,17to18,5to6,1096
19,-99,-99,bike,2228,9to10,5to6,1347
20,-99,-99,bike,931,14to15,5to6,1350
21,-99,-99,bike,2706,10to14,5to6,1385
22,-99,-99,bike,2706,18to20,5to6,1388
23,-99,-99,bike,442,10to14,5to6,1447
24,-99,-99,bike,442,10to14,5to6,1448
25,-99,-99,bike,442,17to18,5to6,1449
26,-99,-99,bike,442,17to18,5to6,1450
27,-99,-99,bike,1103,7to8,5to6,1547
28,-99,-99,bike,1103,17to18,5to6,1548
29,-99,-99,bike,3220,7to8,5to6,1624
30,-99,-99,bike,3220,18to20,5to6,1625
31,-99,-99,bike,1938,7to8,5to6,1645
32,-99,-99,bike,1938,17to18,5to6,1648
33,-99,-99,bike,1425,8to9,5to6,1651
34,-99,-99,bike,2643,16to17,5to6,1652
35,-99,-99,bike,2568,18to20,5to6,1653
36,-99,-99,bike,2313,6to7,5to6,1808
37,-99,-99,bike,2454,17to18,5to6,1809
38,-99,-99,bike,238,18to20,5to6,1810
39,-99,-99,bike,159,18to20,5to6,1811
40,-99,-99,bike,1626,9to10,5to6,1914
