"","race_category","survey17_19","mode_simple17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","mode_simple21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","African American","2017_2019","Transit",67514.3564201522,19428.4081121638,0.12780071454922,0.0351333601939743,217,"2021","Transit",43565.6104558414,15395.8039255086,0.0623067313234869,0.0216643986264587,44
"2","Asian","2017_2019","Transit",73969.5291209758,11992.1073216608,0.0695634986365611,0.0117437209314404,1289,"2021","Transit",110346.197401763,28649.5329513346,0.0637926079226508,0.0160385858129011,86
"3","Hispanic","2017_2019","Transit",35852.3626607023,12528.3887057926,0.0544104305141424,0.0187035822448038,424,"2021","Transit",19912.2284923831,11070.5943421947,0.0216663092586657,0.0119636678416736,21
"4","Missing","2017_2019","Transit",64276.764587895,20652.1915432729,0.0421001215822699,0.0135446122949606,363,"2021","Transit",14154.3626356756,8147.22557161805,0.0200396210164774,0.0114931351438898,26
"5","Other","2017_2019","Transit",54401.6189230502,15325.3600974277,0.0534288714794135,0.0150755700584295,387,"2021","Transit",20656.069046071,7855.30702179349,0.0369943439505178,0.0141247342408554,39
"6","White Only","2017_2019","Transit",424549.064375372,46329.4573064646,0.0470360777920824,0.00505942039086435,5275,"2021","Transit",239675.840601099,40723.921374246,0.0258569405269219,0.00436052077366117,221
