"","mode_acc","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Drove and parked a car (e.g., a vehicle in my household)","2017_2019",28023.0488038005,9732.32344629716,0.0388904533435895,0.0133750461485558,115,"2021",13158.1707778238,7814.00830128476,0.0293505871367334,0.0174305878287155,13
"2","Drove and parked a carshare vehicle (e.g., ZipCar, Car2Go)","2017_2019",1178.49314265676,461.849264217488,0.00163551556795694,0.000654516029227963,20,"2021",882.263361429582,1451.32322955164,0.00196797473633862,0.00324354425529786,1
"3","Got dropped off","2017_2019",9356.89929646515,6810.456584876,0.0129855269523883,0.00939164090258616,43,"2021",7662.76676909424,8692.90372609186,0.0170925508995379,0.0192154609385208,5
"4","Other","2017_2019",22724.9940102042,13366.1818273255,0.0315378003826385,0.0181492809039614,89,"2021",33208.5312527057,18929.3580169558,0.0740748776310286,0.0403660153902926,16
"5","Rode a bike","2017_2019",9797.95159945325,7476.54277262862,0.0135976203806064,0.0102974965462635,41,"2021",6686.35862463111,7314.66736835303,0.0149145770147955,0.0162149458129863,8
"6","Took ride-share/other hired car service (e.g., Lyft, Uber)","2017_2019",389.287309183852,385.339556963096,0.000540253847504732,0.000536413237276607,4,"2021",542.057042608727,891.683835091368,0.00120911126104101,0.00199432248209212,1
"7","Walked or jogged","2017_2019",435395.752010765,49266.2633215733,0.604243253406292,0.0381698506328793,3887,"2021",273094.761951119,36006.7969462876,0.609164582416026,0.0601083287361518,287
