"","gender","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Female","2017_2019",342682.589355261,38424.1330080083,0.475575707207625,0.0408039477318724,3812,"2021",231754.853814075,35961.0882507733,0.516951873180955,0.0608602468683209,214
"2","Male","2017_2019",367274.667061095,43882.5455550675,0.509704650754658,0.0409258875116817,3983,"2021",197455.472248982,31765.2727669059,0.440443747214161,0.0602439136017986,201
