"","rent_own","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Other","2017_2019",1170.5792136017,861.027181493184,0.00162453259851507,0.00120078712598034,40,"2021",11619.5164892335,8723.86615691649,0.0259184682249854,0.0193130601651835,10
"2","Own/paying mortgage","2017_2019",318141.52993205,42067.7528783965,0.441517566953764,0.0414547004444999,2863,"2021",127742.848378982,27966.5635808548,0.284942919935405,0.0556708846653777,103
"3","Prefer not to answer","2017_2019",25625.1229263343,13470.2662434792,0.0355626061449528,0.0182626431507526,67,"2021",2646.1716042428,1779.62847760543,0.00590254462876967,0.00403786090082672,6
"4","Provided by job or military","2017_2019",97.2245341907208,38.8088697568901,0.000134928438274841,5.50340141438883e-05,21,"2021",7942.73030466177,8334.29201635357,0.0177170369534529,0.0184366700789025,5
"5","Rent","2017_2019",375529.239481971,38211.8125448404,0.521160365864494,0.0412939303244729,4964,"2021",280563.758310078,35427.3791235022,0.625824909459891,0.0603930228769243,308
