"","hhincome_broad","survey17_19","mode_simple17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","mode_simple21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","$25,000-$49,999","2017_2019","Transit",102906.320150949,21207.3174010516,0.0527032513718669,0.0108496856892199,1221,"2021","Transit",80146.6012205412,20977.6472768126,0.0500774633106733,0.0128764770776053,107
"2","$50,000-$74,999","2017_2019","Transit",97240.5161621206,19648.8519988529,0.0475516835472802,0.00949590195686385,1061,"2021","Transit",61012.8373568422,17762.295125642,0.0384868941099601,0.0110655181516072,68
"3","$75,000-$99,999","2017_2019","Transit",65389.6847370829,14796.6369684556,0.0369180045863488,0.0083543038214239,952,"2021","Transit",47039.7277474513,18744.5564683898,0.0256791305322365,0.0101054173580337,32
"4","Prefer not to answer","2017_2019","Transit",16585.2360174062,9033.63157864402,0.0278483888194343,0.0150660020201179,352,"2021","Transit",17818.8495435438,12234.8945825229,0.0149659350536922,0.0102028973450488,16
"5","Under $25,000","2017_2019","Transit",161383.344736567,29338.5619012219,0.124947094065145,0.0220146288573717,919,"2021","Transit",139701.188218856,31994.0719572409,0.157813913647803,0.0324481699992048,127
