,survey,o_rgcname,mode_simple,count,count_moe,share,share_moe,sample_size
72,2017_2019,Puyallup South Hill,Other,931.2007543,1531.825241,1%,2%,1
73,2017_2019,Puyallup South Hill,Total,69073.34132,25862.31658,0%,0%,133
74,2017_2019,Redmond-Overlake,Drive,27559.9865,12662.72214,84%,8%,321
75,2017_2019,Redmond-Overlake,Transit,2871.551369,1656.283278,9%,6%,89
76,2017_2019,Redmond-Overlake,Walk,1958.983867,693.6793537,6%,3%,94
77,2017_2019,Redmond-Overlake,Bike,319.7687828,364.0145567,1%,1%,4
78,2017_2019,Redmond-Overlake,Other,46.66540386,76.76458934,0%,0%,1
79,2017_2019,Redmond-Overlake,Total,32756.95592,12794.3304,0%,0%,509
80,2017_2019,Redmond Downtown,Drive,97440.95053,27268.46476,87%,6%,912
81,2017_2019,Redmond Downtown,Transit,4107.876244,5445.882532,4%,5%,106
82,2017_2019,Redmond Downtown,Walk,10290.33507,4079.102945,9%,4%,361
83,2017_2019,Redmond Downtown,Bike,222.7616865,178.47155,0%,0%,23
84,2017_2019,Redmond Downtown,Other,31.66966879,46.22024968,0%,0%,6
85,2017_2019,Redmond Downtown,Total,112093.5932,28102.98073,1%,0%,1408
86,2017_2019,Renton,Drive,49902.4218,17247.28883,89%,10%,108
87,2017_2019,Renton,Transit,3140.581196,3762.186978,6%,7%,6
88,2017_2019,Renton,Walk,3053.037477,4799.118678,5%,8%,2
89,2017_2019,Renton,Total,56096.04047,18292.84304,0%,0%,116
90,2017_2019,SeaTac,Drive,25417.85472,9487.790207,81%,15%,103
91,2017_2019,SeaTac,Transit,4194.184986,5135.168443,13%,15%,27
92,2017_2019,SeaTac,Walk,21.71739975,35.72512259,0%,0%,1
93,2017_2019,SeaTac,Other,1647.427712,1380.329041,5%,5%,12
94,2017_2019,SeaTac,Total,31281.18482,10875.74114,0%,0%,143
95,2017_2019,Seattle Downtown,Drive,159349.7003,31383.19722,35%,5%,1313
96,2017_2019,Seattle Downtown,Transit,114920.3595,16762.21501,25%,3%,2009
97,2017_2019,Seattle Downtown,Walk,173541.4149,21846.2143,38%,4%,3792
98,2017_2019,Seattle Downtown,Bike,4740.336894,2506.751947,1%,1%,140
99,2017_2019,Seattle Downtown,Other,6424.024236,1764.59247,1%,0%,202
100,2017_2019,Seattle Downtown,Total,460054.4232,41794.53862,3%,0%,7578
101,2017_2019,Seattle Downtown,NA,1078.587353,427.2443618,0%,0%,122
102,2017_2019,Seattle First Hill/Capitol Hill,Drive,108450.051,21706.98347,50%,6%,1210
103,2017_2019,Seattle First Hill/Capitol Hill,Transit,33582.40518,8846.507497,16%,4%,725
104,2017_2019,Seattle First Hill/Capitol Hill,Walk,64741.66127,5875.657684,30%,4%,1826
105,2017_2019,Seattle First Hill/Capitol Hill,Bike,6462.020061,5618.109588,3%,3%,82
106,2017_2019,Seattle First Hill/Capitol Hill,Other,3024.130043,1136.69592,1%,1%,130
107,2017_2019,Seattle First Hill/Capitol Hill,Total,216562.2232,24811.73936,2%,0%,4015
108,2017_2019,Seattle First Hill/Capitol Hill,NA,301.9556382,160.2503935,0%,0%,42
109,2017_2019,Seattle Northgate,Drive,63184.02131,20602.69094,89%,4%,505
110,2017_2019,Seattle Northgate,Transit,2532.422209,979.1215119,4%,2%,88
111,2017_2019,Seattle Northgate,Walk,4404.744659,1442.565456,6%,3%,92
112,2017_2019,Seattle Northgate,Bike,339.4118141,335.4261499,0%,0%,7
113,2017_2019,Seattle Northgate,Other,782.7634284,598.5396216,1%,1%,9
114,2017_2019,Seattle Northgate,Total,71327.71239,20686.71845,1%,0%,709
115,2017_2019,Seattle Northgate,NA,84.34896618,58.15229317,0%,0%,8
116,2017_2019,Seattle South Lake Union,Drive,54536.62304,23925.99678,42%,12%,370
117,2017_2019,Seattle South Lake Union,Transit,13177.01806,4438.004032,10%,4%,251
118,2017_2019,Seattle South Lake Union,Walk,51821.63584,17674.59224,40%,11%,688
119,2017_2019,Seattle South Lake Union,Bike,5807.031407,8141.090406,4%,6%,33
120,2017_2019,Seattle South Lake Union,Other,5751.420283,4903.318489,4%,4%,55
121,2017_2019,Seattle South Lake Union,Total,131117.1366,31533.97831,1%,0%,1405
122,2017_2019,Seattle South Lake Union,NA,23.40799148,14.63684107,0%,0%,8
123,2017_2019,Seattle University Community,Drive,81710.26828,23039.23886,40%,8%,809
124,2017_2019,Seattle University Community,Transit,47676.97911,16737.32808,23%,7%,690
125,2017_2019,Seattle University Community,Walk,68087.15027,18676.43887,34%,8%,1331
126,2017_2019,Seattle University Community,Bike,3587.870036,948.9469087,2%,1%,134
127,2017_2019,Seattle University Community,Other,1543.670241,854.3694317,1%,0%,44
128,2017_2019,Seattle University Community,Total,202945.4721,34062.80773,1%,0%,3067
129,2017_2019,Seattle University Community,NA,339.534141,188.4126841,0%,0%,59
130,2017_2019,Seattle Uptown,Drive,39103.51526,14431.03237,55%,10%,413
131,2017_2019,Seattle Uptown,Transit,8871.550433,2890.898748,13%,4%,202
132,2017_2019,Seattle Uptown,Walk,20919.18357,3856.051958,30%,7%,436
133,2017_2019,Seattle Uptown,Bike,1163.973012,1072.262147,2%,2%,24
134,2017_2019,Seattle Uptown,Other,673.3131512,554.516601,1%,1%,29
135,2017_2019,Seattle Uptown,Total,70777.67551,15258.30654,1%,0%,1118
136,2017_2019,Seattle Uptown,NA,46.14008598,22.86573667,0%,0%,14
137,2017_2019,Silverdale,Drive,68232.87746,21272.93362,100%,0%,181
138,2017_2019,Silverdale,Transit,180.9555403,297.6718637,0%,0%,1
139,2017_2019,Silverdale,Total,68413.833,21274.99208,0%,0%,182
140,2017_2019,Tacoma Downtown,Drive,110847.6356,20346.31631,81%,6%,351
141,2017_2019,Tacoma Downtown,Transit,10257.16732,8608.58128,7%,6%,44
142,2017_2019,Tacoma Downtown,Walk,14758.53967,3719.210424,11%,3%,98
143,2017_2019,Tacoma Downtown,Bike,858.6495905,679.7864906,1%,1%,6
144,2017_2019,Tacoma Downtown,Other,82.73962055,61.07409046,0%,0%,5
145,2017_2019,Tacoma Downtown,Total,136990.0887,22408.53067,1%,0%,510
146,2017_2019,Tacoma Downtown,NA,185.356847,138.3268691,0%,0%,6
147,2017_2019,Tacoma Mall,Drive,65580.68773,18536.70572,98%,2%,150
148,2017_2019,Tacoma Mall,Transit,899.5756055,1258.02313,1%,2%,4
