"","dest_purpose_cat","survey.x","mode_simple.x","count.x","count_moe.x","share.x","share_moe.x","sample_size.x","survey.y","mode_simple.y","count.y","count_moe.y","share.y","share_moe.y","sample_size.y"
"1","Change mode","2017_2019","Transit",14166.6365308077,6466.80920673439,0.205307573796473,0.104228284358151,109,"2021","Transit",3087.89563361215,3398.8954474832,0.0514389227254916,0.0571800862509707,5
"2","Errand/Other","2017_2019","Transit",81066.9555059104,25734.3996929702,0.0536405975615543,0.0165618766078907,574,"2021","Transit",59757.0373992083,21013.045879345,0.0394837938259981,0.0136348226791392,50
"3","Escort","2017_2019","Transit",14260.4027723707,14542.3030421005,0.0148645856331394,0.0149880114690471,113,"2021","Transit",6544.12504775246,7329.37384572548,0.0106237563112988,0.0118388983617493,5
"4","Home","2017_2019","Transit",274535.744304282,35076.5598391638,0.0616600559257493,0.00778185344593947,2915,"2021","Transit",155215.099067931,31129.9521527193,0.0313334162162559,0.00621568375353069,155
"5","Meal","2017_2019","Transit",18569.8905135822,7970.98803917981,0.021305195215089,0.00919464955744437,257,"2021","Transit",26820.7885564415,15376.2625490106,0.0302923743448308,0.0171006144383748,19
"6","School","2017_2019","Transit",31805.2116722127,12196.6460675345,0.262125331380795,0.0900728224847073,214,"2021","Transit",7405.182700523,5877.84514532998,0.0866175365991292,0.0685098130303114,6
"7","Shop","2017_2019","Transit",62777.9669302315,18597.5876866823,0.0324629209614877,0.00956896043818932,432,"2021","Transit",57391.3463902052,19218.6948369739,0.0249576408005952,0.00828770350516154,60
"8","Social/Recreation","2017_2019","Transit",30970.8013326756,6932.82375995453,0.0232863328763732,0.00536518583286014,547,"2021","Transit",30700.0568175254,16362.9358897893,0.0179680547086125,0.0094803957337614,21
"9","Work","2017_2019","Transit",167219.648493041,25913.7937892073,0.0897331802888756,0.0137870202522052,2465,"2021","Transit",88039.4513209168,23859.1955474603,0.0652648253591546,0.017179736561345,92
"10","Work-related","2017_2019","Transit",25102.4478465383,8106.70163315423,0.0354987201351101,0.0116078752261625,326,"2021","Transit",13349.3256987166,4670.07685595501,0.0324902496709986,0.0121279273032748,24
