"","NoVehicles","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Has Vehicles","2017_2019",498090.677107011,46746.0559966201,0.691251418592255,0.0392952189266687,5185,"2021",219323.360204929,32604.5066124196,0.489222210557188,0.0609018098812582,223
"2","No Vehicles","2017_2019",222473.018981137,34759.5761679021,0.308748581407745,0.0392952189266687,2770,"2021",228986.948427903,36124.1411669925,0.510777789442812,0.0609018098812582,214
