"","work_purpose","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Not Work","2017_2019",553256.057408611,52132.0484253239,0.767810063721182,0.0325100979197621,5487,"2021",360270.857311915,40173.6972108503,0.803619391243976,0.047998261173747,345
"2","Work","2017_2019",167219.648493041,25753.5752349001,0.232067823290094,0.0325088001316953,2465,"2021",88039.4513209168,22899.5714649442,0.196380608756024,0.047998261173747,92
