,hhno,pno,day,tour,half,tseg,tsvid,opurp,dpurp,oadtyp,dadtyp,opcl,otaz,dpcl,dtaz,mode,pathtype,dorp,deptm,arrtm,endacttm,travtime,travcost,travdist
0,17100005,1,1,-1,-1,-1,1,0,4,-1,-1,-1,-1,-1,-1,4,0,2,415,425,5,7,0,2.3
1,17100005,1,1,-1,-1,-1,2,4,5,-1,-1,-1,-1,-1,-1,4,0,2,430,435,35,4,0,1.12
2,17100005,1,1,-1,-1,-1,3,5,0,-1,-1,-1,-1,-1,-1,4,0,2,470,480,35,7,0,3.26
3,17100005,1,1,-1,-1,-1,4,0,4,-1,-1,-1,-1,-1,-1,3,0,1,515,540,190,18,0,8.13
4,17100005,1,1,-1,-1,-1,5,4,0,-1,-1,-1,-1,-1,-1,3,0,1,730,750,690,16,0,8.04
5,17100005,2,1,-1,-1,-1,1,0,4,-1,-1,-1,-1,-1,-1,4,0,3,415,425,5,7,0,2.3
6,17100005,2,1,-1,-1,-1,2,4,5,-1,-1,-1,-1,-1,-1,4,0,3,430,435,35,4,0,1.12
7,17100005,2,1,-1,-1,-1,3,5,0,-1,-1,-1,-1,-1,-1,4,0,3,470,480,960,7,0,3.26
8,17100024,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,1,0,3,305,315,175,3,0,0.54
9,17100024,1,1,-1,-1,-1,2,1,0,-1,-1,-1,-1,-1,-1,1,0,3,490,500,70,3,0,0.54
10,17100024,1,1,-1,-1,-1,3,0,5,-1,-1,-1,-1,-1,-1,3,0,1,570,585,35,11,0,3.31
11,17100024,1,1,-1,-1,-1,4,5,0,-1,-1,-1,-1,-1,-1,3,0,1,620,640,165,11,0,3.31
12,17100024,1,1,-1,-1,-1,5,0,5,-1,-1,-1,-1,-1,-1,1,0,3,805,810,10,1,0,0.15
13,17100024,1,1,-1,-1,-1,6,5,0,-1,-1,-1,-1,-1,-1,1,0,3,820,825,15,1,0,0.15
14,17100024,1,1,-1,-1,-1,7,0,2,-1,-1,-1,-1,-1,-1,2,0,3,840,850,10,5,0,0.83
15,17100024,1,1,-1,-1,-1,8,2,0,-1,-1,-1,-1,-1,-1,2,0,3,860,870,570,5,0,0.92
16,17100024,2,1,-1,-1,-1,1,0,3,-1,-1,-1,-1,-1,-1,4,0,1,300,310,5,4,0,0.8
17,17100024,2,1,-1,-1,-1,2,3,0,-1,-1,-1,-1,-1,-1,3,0,1,315,325,215,5,0,0.89
18,17100024,2,1,-1,-1,-1,3,0,1,-1,-1,-1,-1,-1,-1,1,0,3,540,565,505,6,0,1.41
19,17100024,2,1,-1,-1,-1,4,1,0,-1,-1,-1,-1,-1,-1,6,1,3,1070,1090,350,7,0,1.55
20,17100024,3,1,-1,-1,-1,1,0,2,-1,-1,-1,-1,-1,-1,4,0,2,300,310,550,4,0,0.8
21,17100024,3,1,-1,-1,-1,2,2,0,-1,-1,-1,-1,-1,-1,2,0,3,860,870,570,5,0,0.92
22,17100052,1,1,-1,-1,-1,1,0,4,-1,-1,-1,-1,-1,-1,6,1,3,600,630,10,8,0,1.51
23,17100052,1,1,-1,-1,-1,2,4,9,-1,-1,-1,-1,-1,-1,1,0,3,640,660,90,4,0,0.51
24,17100052,1,1,-1,-1,-1,3,9,4,-1,-1,-1,-1,-1,-1,1,0,3,750,765,10,3,0,0.41
25,17100052,1,1,-1,-1,-1,4,4,6,-1,-1,-1,-1,-1,-1,6,1,3,775,800,110,5,0,0.71
26,17100052,1,1,-1,-1,-1,5,6,0,-1,-1,-1,-1,-1,-1,6,1,3,910,945,495,7,0,1.1
27,17100060,1,1,-1,-1,-1,1,0,4,-1,-1,-1,-1,-1,-1,3,0,1,315,330,70,7,0,3.67
28,17100060,1,1,-1,-1,-1,2,4,4,-1,-1,-1,-1,-1,-1,3,0,1,400,410,15,5,0,1.85
29,17100060,1,1,-1,-1,-1,3,4,9,-1,-1,-1,-1,-1,-1,3,0,1,425,430,5,3,0,0.56
30,17100060,1,1,-1,-1,-1,4,9,5,-1,-1,-1,-1,-1,-1,3,0,1,435,440,30,4,0,0.47
31,17100060,1,1,-1,-1,-1,5,5,0,-1,-1,-1,-1,-1,-1,3,0,1,470,485,955,12,0,4.43
32,17100102,1,1,-1,-1,-1,1,0,3,-1,-1,-1,-1,-1,-1,3,0,1,240,280,20,39,0,30.49
33,17100102,1,1,-1,-1,-1,2,3,1,-1,-1,-1,-1,-1,-1,4,0,1,300,375,345,75,0,76.47
34,17100102,1,1,-1,-1,-1,3,1,3,-1,-1,-1,-1,-1,-1,4,0,1,720,795,5,76,0,76.34
35,17100102,1,1,-1,-1,-1,4,3,5,-1,-1,-1,-1,-1,-1,3,0,1,800,855,30,37,0,30.71
36,17100102,1,1,-1,-1,-1,5,5,0,-1,-1,-1,-1,-1,-1,3,0,1,885,895,545,3,0,0.46
37,17100108,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,6,3,3,360,395,415,23,0,14.26
38,17100108,1,1,-1,-1,-1,2,1,0,-1,-1,-1,-1,-1,-1,6,3,3,810,855,585,23,0,14.36
39,17100108,2,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,1,0,3,375,390,570,6,0,0.94
40,17100108,2,1,-1,-1,-1,2,1,0,-1,-1,-1,-1,-1,-1,1,0,3,960,975,465,7,0,0.86
41,17100111,1,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,3,0,1,255,260,175,6,0,1.63
42,17100111,1,1,-1,-1,-1,2,1,1,-1,-1,-1,-1,-1,-1,3,0,1,435,445,135,7,0,2.09
43,17100111,1,1,-1,-1,-1,3,1,1,-1,-1,-1,-1,-1,-1,3,0,1,580,585,165,7,0,1.94
44,17100111,1,1,-1,-1,-1,4,1,0,-1,-1,-1,-1,-1,-1,3,0,1,750,755,195,6,0,1.63
45,17100111,1,1,-1,-1,-1,5,0,4,-1,-1,-1,-1,-1,-1,4,0,1,950,960,100,6,0,1.76
46,17100111,1,1,-1,-1,-1,6,4,0,-1,-1,-1,-1,-1,-1,4,0,1,1060,1065,375,7,0,1.76
47,17100111,2,1,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,3,0,1,220,240,270,15,0,6.37
48,17100111,2,1,-1,-1,-1,2,1,8,-1,-1,-1,-1,-1,-1,3,0,1,510,530,85,14,0,4.99
49,17100111,2,1,-1,-1,-1,3,8,0,-1,-1,-1,-1,-1,-1,3,0,1,615,620,330,6,0,1.22
50,17100111,2,1,-1,-1,-1,4,0,4,-1,-1,-1,-1,-1,-1,4,0,3,950,960,100,6,0,1.76
51,17100111,2,1,-1,-1,-1,5,4,0,-1,-1,-1,-1,-1,-1,4,0,3,1060,1065,375,7,0,1.76
