tlvorig,tardest,totaz,topcl,toadtyp,tlvdest,tarorig,hhno,pno,day,pdpurp,tdtaz,tdpcl,tdadtyp,tpathtp,tripsh1,tripsh2,tmodetp,subtrs,odadtyp,jtindex,parent,tautotime,tautocost,tautodist,phtindx1,phtindx2,fhtindx1,fhtindx2,toexpfac
500,505,2508.0,-1,1,510,515,17132609,1713260904,4,3.0,2502.0,-1.0,4,1,1,2,4,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
675,680,2508.0,-1,1,700,705,17132609,1713260904,4,5.0,,,4,1,1,1,4,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
740,770,2508.0,-1,1,945,955,17132609,1713260904,4,6.0,47.0,-1.0,4,1,1,4,4,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1110,1120,2508.0,-1,1,1215,1225,17132609,1713260904,4,7.0,2517.0,-1.0,4,1,2,2,5,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
450,455,184.0,-1,1,455,460,17118701,1711870101,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
465,480,184.0,-1,1,780,810,17118701,1711870101,4,1.0,1517.0,-1.0,4,1,3,3,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
810,815,184.0,-1,1,820,825,17118701,1711870101,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1095,1110,184.0,-1,1,1110,1120,17118701,1711870101,4,3.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1170,1185,184.0,-1,1,1185,1200,17118701,1711870101,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
480,490,3394.0,-1,1,525,545,17101240,1710124001,4,3.0,3401.0,-1.0,4,1,1,2,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
720,750,3394.0,-1,1,750,770,17101240,1710124001,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
835,855,3394.0,-1,1,915,950,17101240,1710124001,4,3.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1030,1045,3394.0,-1,1,1060,1065,17101240,1710124001,4,4.0,3392.0,-1.0,4,1,2,1,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1175,1195,3394.0,-1,1,1240,1250,17101240,1710124001,4,6.0,3049.0,-1.0,4,1,1,2,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
510,520,1644.0,-1,1,620,630,17111909,1711190902,4,5.0,1581.0,-1.0,4,1,1,2,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
660,680,1644.0,-1,1,680,700,17111909,1711190902,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
740,750,1644.0,-1,1,855,865,17111909,1711190902,4,5.0,1642.0,-1.0,4,1,2,2,3,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1005,1020,1644.0,-1,1,1020,1030,17111909,1711190902,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1055,1065,1644.0,-1,1,1065,1080,17111909,1711190902,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
390,405,649.0,-1,1,405,410,17145958,1714595801,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
510,545,649.0,-1,1,955,1005,17145958,1714595801,4,1.0,496.0,-1.0,4,1,3,1,6,1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1005,1015,649.0,-1,1,1030,1035,17145958,1714595801,4,8.0,649.0,-1.0,4,1,2,1,1,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1075,1100,649.0,-1,1,1220,1240,17145958,1714595801,4,8.0,,,4,1,1,1,3,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1245,1250,649.0,-1,1,1250,1255,17145958,1714595801,4,8.0,,,4,1,1,1,1,0,1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
630,650,1676.0,-1,1,695,705,17130048,1713004801,4,5.0,1675.0,-1.0,4,1,2,1,4,0,,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
