hhno,pno,tsvid,day,mode,opurp,dpurp,deptm,otaz,dtaz,opcl,dpcl,oadtyp,dadtyp,arrtm,trexpfac,travcost,travtime,travdist,pathtype,personid
17100108,1710010801,D00038,4,6.0,0.0,1.0,540,458.0,1629.0,-1,-1,1,4,575,24.8994616891559,-1,-1,-1,1,1727110909
17100108,1710010801,D00039,4,6.0,1.0,0.0,990,1629.0,458.0,-1,-1,4,1,1035,24.8994616891559,-1,-1,-1,1,1727110909
17100108,1710010802,D00040,4,1.0,0.0,1.0,555,458.0,487.0,-1,-1,1,4,570,24.8994616891559,-1,-1,-1,1,1727110910
17100108,1710010802,D00041,4,1.0,1.0,0.0,1140,487.0,458.0,-1,-1,4,1,1155,24.8994616891559,-1,-1,-1,1,1727110910
17100179,1710017901,D00072,4,3.0,0.0,1.0,455,314.0,619.0,-1,-1,1,4,470,14.0808154426337,-1,-1,-1,1,1727118080
17100179,1710017902,D00073,4,2.0,0.0,1.0,345,314.0,609.0,-1,-1,1,4,390,14.0808154426337,-1,-1,-1,1,1727118081
17100179,1710017903,D00074,4,3.0,0.0,2.0,510,314.0,182.0,-1,-1,1,4,520,14.0808154426337,-1,-1,-1,1,1727118082
17100203,1710020301,D00075,4,5.0,0.0,3.0,540,1652.0,1677.0,-1,-1,1,4,545,116.24897093282348,-1,-1,-1,1,1727120504
17100203,1710020301,D00076,4,4.0,3.0,0.0,560,1677.0,1652.0,-1,-1,4,1,570,116.24897093282348,-1,-1,-1,1,1727120504
17100203,1710020301,D00077,4,4.0,0.0,3.0,900,1652.0,1677.0,-1,-1,1,4,910,116.24897093282348,-1,-1,-1,1,1727120504
17100203,1710020301,D00078,4,5.0,3.0,0.0,930,1677.0,1652.0,-1,-1,4,1,940,116.24897093282348,-1,-1,-1,1,1727120504
17100203,1710020302,D00079,4,3.0,0.0,1.0,525,1652.0,1684.0,-1,-1,1,4,535,101.08606167971399,-1,-1,-1,1,1727120505
17100203,1710020302,D00080,4,3.0,1.0,0.0,1200,1684.0,1652.0,-1,-1,4,1,1210,101.08606167971399,-1,-1,-1,1,1727120505
17100203,1710020303,D00081,4,5.0,0.0,2.0,540,1652.0,1677.0,-1,-1,1,4,545,101.08606167971399,-1,-1,-1,1,1727120506
17100203,1710020303,D00082,4,5.0,2.0,0.0,930,1677.0,1652.0,-1,-1,4,1,940,101.08606167971399,-1,-1,-1,1,1727120506
17100203,1710020304,D00083,4,5.0,0.0,3.0,540,1652.0,1677.0,-1,-1,1,4,545,116.24897093282348,-1,-1,-1,1,1727120507
17100203,1710020304,D00084,4,4.0,3.0,0.0,560,1677.0,1652.0,-1,-1,4,1,570,101.08606167971399,-1,-1,-1,1,1727120507
17100203,1710020304,D00085,4,4.0,0.0,3.0,900,1652.0,1677.0,-1,-1,1,4,910,116.24897093282348,-1,-1,-1,1,1727120507
17100203,1710020304,D00086,4,5.0,3.0,0.0,930,1677.0,1652.0,-1,-1,4,1,940,101.08606167971399,-1,-1,-1,1,1727120507
17100231,1710023101,D00107,4,1.0,0.0,1.0,525,1707.0,1707.0,-1,-1,1,4,545,13.092201032774101,-1,-1,-1,1,1727123332
17100231,1710023101,D00108,4,1.0,1.0,8.0,845,1707.0,1674.0,-1,-1,4,4,915,13.092201032774101,-1,-1,-1,1,1727123332
17100231,1710023101,D00109,4,1.0,8.0,0.0,915,1674.0,1707.0,-1,-1,4,1,980,13.092201032774101,-1,-1,-1,1,1727123332
17100231,1710023102,D00110,4,3.0,0.0,5.0,580,1707.0,2570.0,-1,-1,1,4,610,15.056031195344438,-1,-1,-1,1,1727123333
17100231,1710023102,D00111,4,3.0,5.0,5.0,780,2570.0,1675.0,-1,-1,4,4,810,15.056031195344438,-1,-1,-1,1,1727123333
17100231,1710023102,D00112,4,3.0,5.0,0.0,825,1675.0,1707.0,-1,-1,4,1,840,15.056031195344438,-1,-1,-1,1,1727123333
17100231,1710023102,D00113,4,1.0,0.0,8.0,900,1707.0,1707.0,-1,-1,1,4,920,13.092201032774101,-1,-1,-1,1,1727123333
17100231,1710023102,D00114,4,1.0,8.0,0.0,920,1707.0,1707.0,-1,-1,4,1,945,13.092201032774101,-1,-1,-1,1,1727123333
17100411,1710041101,D00172,4,6.0,0.0,1.0,535,284.0,1559.0,-1,-1,1,4,595,24.9885667310646,-1,-1,-1,1,1727141512
17100411,1710041101,D00174,4,6.0,1.0,0.0,1080,1559.0,284.0,-1,-1,4,1,1150,24.9885667310646,-1,-1,-1,1,1727141512
17100458,1710045801,D00200,4,3.0,0.0,1.0,630,1623.0,1550.0,-1,-1,1,4,650,12.5000000006235,-1,-1,-1,1,1727146259
17100458,1710045801,D00201,4,4.0,1.0,3.0,765,1550.0,1551.0,-1,-1,4,4,770,25.000000001247,-1,-1,-1,1,1727146259
17100458,1710045801,D00202,4,3.0,3.0,6.0,770,1551.0,1580.0,-1,-1,4,4,780,14.3750000050984,-1,-1,-1,1,1727146259
17100458,1710045801,D00203,4,3.0,6.0,0.0,900,1580.0,1623.0,-1,-1,4,1,910,14.3750000050984,-1,-1,-1,1,1727146259
