,hhno,pno,pptyp,pagey,pgend,pwtyp,pwpcl,pwtaz,pwautime,pwaudist,pstyp,pspcl,pstaz,psautime,psaudist,puwmode,puwarrp,puwdepp,ptpass,ppaidpark,pdiary,pproxy,psexpfac
0,17100059,1710005901,1,6,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,1,0,-1,1,-1
1,17100248,1710024801,1,7,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,1,0,-1,1,-1
2,17100303,1710030301,1,6,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,0,-1,1,-1
3,17100303,1710030302,1,6,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,0,0,-1,1,-1
4,17100342,1710034201,1,6,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,1,0,-1,1,-1
5,17100342,1710034202,1,6,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,0,-1,1,-1
6,17100410,1710041001,1,7,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,1,0,-1,1,-1
7,17100501,1710050101,1,6,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,1,0,-1,1,-1
8,17100590,1710059001,1,5,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,1,0,-1,1,-1
9,17100652,1710065201,1,6,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,0,-1,2,-1
10,17100652,1710065202,4,5,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,2,-1
11,17100652,1710065203,8,1,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,2,-1
12,17100654,1710065401,4,8,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,2,-1
13,17100654,1710065402,1,8,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,0,-1,1,-1
14,17100654,1710065403,7,3,2,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,0,0,-1,2,-1
15,17100675,1710067501,1,8,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,0,-1,1,-1
16,17100818,1710081801,1,9,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,0,-1,1,-1
17,17100834,1710083401,4,5,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,1,-1
18,17100834,1710083402,2,5,1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,4,-1,-1,0,0,-1,1,-1
19,17100868,1710086801,1,8,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,0,0,-1,1,-1
20,17100868,1710086802,1,8,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,1,0,-1,1,-1
21,17100907,1710090701,1,7,9,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,0,0,-1,1,-1
22,17100942,1710094201,1,7,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,0,0,-1,2,-1
23,17100964,1710096401,1,6,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,4,-1,-1,0,0,-1,1,-1
24,17100964,1710096402,1,6,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,1,0,-1,1,-1
25,17100986,1710098601,2,6,2,2,-1,-1,-1,-1,2,-1,-1,-1,-1,3,-1,-1,0,0,-1,1,-1
26,17101042,1710104201,4,8,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,1,-1
27,17101086,1710108601,1,6,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,1,0,-1,1,-1
28,17101086,1710108602,1,6,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,0,-1,1,-1
29,17101086,1710108603,8,1,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,2,-1
30,17101130,1710113001,4,7,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,1,-1
31,17101223,1710122301,1,8,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,0,-1,1,-1
32,17101223,1710122302,1,8,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,1,1,-1,2,-1
33,17101223,1710122303,7,3,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,2,-1
34,17101223,1710122304,7,3,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,2,-1
35,17101223,1710122305,7,2,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,2,-1
36,17101263,1710126301,1,6,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,1,0,-1,1,-1
37,17101325,1710132501,1,6,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,0,-1,1,-1
38,17101325,1710132502,1,6,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,-1,0,0,-1,2,-1
39,17101375,1710137501,2,8,1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,0,-1,-1,0,0,-1,1,-1
40,17101375,1710137502,1,7,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,1,-1,1,-1
41,17101375,1710137503,7,2,1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,0,0,-1,2,-1
42,17101375,1710137504,8,1,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,2,-1
43,17101619,1710161901,1,6,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,0,0,-1,2,-1
44,17101626,1710162601,4,6,1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,1,-1
45,17101626,1710162602,1,6,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,0,-1,1,-1
46,17101854,1710185401,1,6,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,1,0,-1,1,-1
47,17101854,1710185402,4,6,2,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,1,-1
48,17101873,1710187301,1,6,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,5,-1,-1,1,0,-1,1,-1
49,17101873,1710187302,1,6,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,0,-1,1,-1
50,17101886,1710188601,1,8,2,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,0,-1,1,-1
51,17101947,1710194701,1,6,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,0,0,-1,1,-1
52,17101949,1710194901,1,9,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,3,-1,-1,1,0,-1,1,-1
